Nº chamada,Nº REDS,Data/hora de criação,Local do fato,Latitude  do local,Longitude do local,Natureza,Unidade Responsável,Recursos empenhados,Alerta,Destaque,Envolve autoridade,Tipo de classificação,Situação,Data/hora da situação atual,Evento associado
2025-37778248-0,(BM) 2025-005790879-001,06/02/2025 16:21:23,"AVENIDA JOAO XXIII, Nº S/N - TEOFILO ROCHA - TEOFILO OTONI",-17.8728701,-41.504177,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),6BBM/2CIA/1PEL(TEOFILO OTONI),TPO09152,Não,Não,Não,Desconhecido,Terminada,06/02/2025 16:41:48,Não
2025-37778354-7,Desconhecido,06/02/2025 16:26:58,"RODOVIA MG 436, Nº S/N - BARAO DE COCAIS",-19.8700019,-43.4480026,P03001 - PERIGO DE DERRAPAGEM (C) (Prioridade: 2 - Média),11BBM/1CIA/6PEL/PA(SAO G DO RIO ABAIXO),Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,06/02/2025 16:26:58,Não
2025-37778404-3,(BM) 2025-005792790-001,06/02/2025 16:29:43,"RODOVIA BR 367, Nº S/N - CIDADE NOVA - ALMENARA",-16.1894609,-40.6948036,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6BBM/2CIA/2PEL(ALMENARA),ASM00137,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:58:19,Não
2025-37778429-4,(BM) 2025-005793177-001,06/02/2025 16:31:44,"AVENIDA RIO BAHIA, Nº 858 - CENTRO - ITAOBIM",-16.5596512,-41.5024097,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),6BBM/2CIA/4PEL(ITAOBIM),BM1641000,Não,Não,Não,Desconhecido,Terminada,06/02/2025 17:17:44,Não
2025-37778763-6,(BM) 2025-005816706-001,06/02/2025 16:49:47,"AVENIDA PRIMEIRO DE JUNHO, Nº 1043 - CENTRO - SAO JOAO EVANGELISTA",-18.5527743,-42.7660126,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6BBM/1CIA/7PEL(SAO JOAO EVANGELISTA),UR02104,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:02:48,Não
2025-37778981-7,(BM) 2025-005840523-001,06/02/2025 17:03:25,"RODOVIA BR 259, Km 35 - RESPLENDOR",-19.3439743,-41.2345032,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6BBM/1CIA/6PEL(RESPLENDOR),UR11192,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:34:11,Não
2025-37779317-6,(BM) 2025-005803237-001,06/02/2025 17:21:18,"RODOVIA BR 116, Nº S/N - VILA RICA - ITAOBIM",-16.555934,-41.501805,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6BBM/2CIA/4PEL(ITAOBIM),ASL04675,Não,Não,Não,Desconhecido,Terminada,06/02/2025 17:53:39,Não
2025-37779355-5,(BM) 2025-005813310-001,06/02/2025 17:23:16,AVENIDA ALFREDO SA - TEOFILO OTONI,0.0,0.0,O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média),6BBM/2CIA/1PEL(TEOFILO OTONI),VOB04673,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:43:05,Não
2025-37779887-4,(BM) 2025-005808898-001,06/02/2025 17:57:01,"AVENIDA CIRO NUNES, Nº 547 - AMAZONAS - GUANHAES",-18.7837101,-42.9449399,S06007 - CORTE / PODA DE ARVORE COM RISCO IMINENTE DE QUEDA (C) (Prioridade: 2 - Média),6BBM/1CIA/7PEL/PA BM (GUANHAES),ASL00079,Não,Não,Não,Desconhecido,Terminada,06/02/2025 18:42:59,Não
2025-37779918-6,(BM) 2025-005815376-001,06/02/2025 17:59:48,"RUA SANTA HELENA, Nº 165 - JUCA BATISTA - ITABIRA",0.0,0.0,S06005 - CAPTURA DE INSETOS (C) (Prioridade: 2 - Média),11BBM/1CIA/6PEL(ITABIRA),ASL06086,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:39:23,Não
2025-37779961-5,(BM) 2025-005809654-001,06/02/2025 18:00:56,"RODOVIA BR 116, Nº S/N - VILA RICA - ITAOBIM",-16.555934,-41.501805,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),6BBM/2CIA/4PEL(ITAOBIM),ASL04675,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:20:05,Não
2025-37780199-9,Desconhecido,06/02/2025 18:17:43,"RUA SAO PAULO, Nº 1047 - CENTRO - GOVERNADOR VALADARES",-18.8534301,-41.9504479,W06000 - TESTE (C) (Prioridade: 3 - Baixa),6BBM/1CIA/1PEL,Desconhecido,Sim,Não,Não,Desconhecido,Atribuída ao órgão,06/02/2025 18:17:43,Não
2025-37780254-5,(BM) 2025-005815350-003,06/02/2025 18:20:44,"RODOVIA STB0131 - RODOVIA DO CARACA, 342, BRUMAL, Nº S/N - SANTA BARBARA",-19.9922451,-43.4564925,V02303 - VITIMA DE CAPOTAMENTO DE ONIBUS / MICRO-ONIBUS (C) (Prioridade: 1 - Alta),11BBM/1CIA/6PEL/PA(SAO G DO RIO ABAIXO),ASL02319 / UR02087 / UR05588,Não,Sim,Não,Desconhecido,No local,06/02/2025 19:20:35,Não
2025-37780379-0,(BM) 2025-005813756-001,06/02/2025 18:29:22,"AVENIDA ALBERTO LAENDER, Nº 119 - SAO DIOGO - TEOFILO OTONI",-17.866216,-41.5135328,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),6BBM/2CIA/1PEL(TEOFILO OTONI),ASL06147,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:41:59,Não
2025-37780399-8,(BM) 2025-005814252-001,06/02/2025 18:32:00,"RUA AMETISTA, Nº 390 - SAO RAIMUNDO - GOVERNADOR VALADARES",-18.8973971,-41.9531743,Q03004 - TREINAMENTO DE SALVAMENTO EM ALTURA (C) (Prioridade: 2 - Média),6BBM/1CIA/5PEL/PEMAD,BM1553148,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:12:16,Não
2025-37780618-0,(BM) 2025-005821320-001,06/02/2025 18:43:29,"PRACA JK, Nº S/N - CENTRO - GUANHAES",-18.7743904,-42.9335137,P03009 - PREVENCAO EM PONTO-BASE / FERIADOS PROLONGADOS (C) (Prioridade: 2 - Média),6BBM/1CIA/7PEL/PA BM (GUANHAES),UR05591,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:19:58,Não
2025-37780624-2,(BM) 2025-005816041-001,06/02/2025 18:44:09,"RUA HELMUTH NEUMANN, Nº 100 - SAO JACINTO - TEOFILO OTONI",-17.8486549,-41.4934384,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),6BBM/2CIA/1PEL(TEOFILO OTONI),VOB04673,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:17:56,Não
2025-37780983-5,(BM) 2025-005819606-001,06/02/2025 19:06:06,"RODOVIA MGC 120, Nº S/N - SAO JOAO EVANGELISTA",-18.5237731,-42.7073556,Q03005 - TREINAMENTO DE SALVAMENTO TERRESTRE (C) (Prioridade: 2 - Média),6BBM/1CIA/7PEL(SAO JOAO EVANGELISTA),ASL06127,Não,Não,Não,Desconhecido,Terminada,06/02/2025 19:42:59,Não
2025-37781060-4,(BM) 2025-005820052-001,06/02/2025 19:10:38,"RUA DOM SERAFIM, Nº 1082 - SANTA TEREZA - ARACUAI",-16.8512413,-42.055232,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),6BBM/2CIA/3PEL(ARACUAI),BM1430743,Não,Não,Não,Desconhecido,Em controle,06/02/2025 19:11:20,Não
2025-37781171-5,(BM) 2025-005822835-001,06/02/2025 19:17:23,"RUA JOÃO PAULO ROCHA, Nº 84 - CAMINHO NOVO - GUANHAES",0.0,0.0,V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta),6BBM/1CIA/7PEL/PA BM (GUANHAES),UR05591,Não,Não,Não,Desconhecido,Terminada,06/02/2025 20:28:51,Não
2025-37781334-8,Desconhecido,06/02/2025 19:28:07,"AVENIDA JOSE IVAIR FERREIRA MATTOS, Nº 1157 - LAGOA SANTA - GOVERNADOR VALADARES",0.0,0.0,P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média),6BBM (GOVERNADOR VALADARES),Desconhecido,Não,Não,Não,Desconhecido,Atribuída ao órgão,06/02/2025 19:28:07,Não
2025-37781839-4,(BM) 2025-005828061-001,06/02/2025 20:02:40,"RUA ZITA MACHADO, Nº 4749 - TEOFILO OTONI",-17.874062,-41.4695108,V02502 - VITIMA DE QUEDA (MOTOCICLISTA) (C) (Prioridade: 1 - Alta),6BBM/2CIA/1PEL(TEOFILO OTONI),UR04344,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:51:03,Não
2025-37781909-8,(BM) 2025-005841844-001,06/02/2025 20:04:18,"RUA SETE DE SETEMBRO, Nº 3059 - CENTRO - GOVERNADOR VALADARES",-18.8533452,-41.9493108,S06002 - CAPTURA DE ANIMAL SILVESTRE PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média),6BBM/1CIA/4PEL,BM1786532,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:43:24,Não
2025-37782422-9,Desconhecido,06/02/2025 20:35:38,"RUA PRINCIPAL, Nº 26 - ARRAIAL - ARACUAI",-16.8618157,-42.0604164,P03002 - PERIGO DE ELETROCUSSAO (C) (Prioridade: 2 - Média),6BBM/2CIA/3PEL(ARACUAI),ABTS08959,Não,Não,Não,Desconhecido,À caminho,06/02/2025 20:54:30,Não
2025-37782605-9,(BM) 2025-005836841-001,06/02/2025 20:48:00,"RUA DECIMA TERCEIRA, Nº 227 - NOVA VILA BRETAS - GOVERNADOR VALADARES",-18.8663464,-41.9695052,V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO (C) (Prioridade: 1 - Alta),6BBM/1CIA/1PEL,00854,Não,Não,Não,Desconhecido,No local intermediário,06/02/2025 22:03:32,Não
2025-37782691-0,(BM) 2025-005836434-001,06/02/2025 20:53:41,"ASSENTAMENTO UZIEL, Nº S/N - SANTA PAULA - GOVERNADOR VALADARES",0.0,0.0,O02001 - INCENDIO EM RESIDENCIA/HABITACAO UNIFAMILIAR (CASA) (C) (Prioridade: 1 - Alta),6BBM/1CIA/1PEL,ASL02168 / ABTS9744,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:11:46,Não
2025-37783105-1,(BM) 2025-005839503-001,06/02/2025 21:22:47,"RUA VEREADOR MANOEL VIEIRA DOS SANTOS, Nº S/N - SANTO ANTONIO - ITAOBIM",-16.5635502,-41.5061217,Q03017 - TREINAMENTO DE PRIMEIROS SOCORROS (C) (Prioridade: 2 - Média),6BBM/2CIA/4PEL(ITAOBIM),BM1640911,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:20:29,Não
2025-37783111-4,(BM) 2025-005842115-001,06/02/2025 21:24:05,LUGAREJO BRU0174 - CORREGO DO FEIJAO - BRUMADINHO,0.0,0.0,X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média),6BBM/1CIA/4PEL,BM1786532,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:47:10,Não
2025-37783217-5,Desconhecido,06/02/2025 21:32:30,"RUA PASSARO VERDE, Nº 584 - PEDREIRA DO INSTITUTO - ITABIRA",-19.593578,-43.1917385,S06002 - CAPTURA DE ANIMAL SILVESTRE PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média),11BBM/1CIA/6PEL(ITABIRA),ASL06086,Não,Não,Não,Desconhecido,À caminho,06/02/2025 21:39:29,Não
2025-37783258-2,(BM) 2025-005840746-001,06/02/2025 21:35:33,"RUA CAPITAO MANOEL CORREIA, Nº 355 - CENTRO - ITUETA",-19.3984134,-41.2285034,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),6BBM/1CIA/6PEL(RESPLENDOR),ASL06088,Não,Não,Não,Desconhecido,Terminada,06/02/2025 21:36:00,Não
2025-37783524-4,Desconhecido,06/02/2025 21:52:08,"PRACA PRIMEIRO DE MAIO, Nº 300 - CENTRO NORTE - TIMOTEO",-19.5383906,-42.646353,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),11BBM/1CIA/7PEL(TIMOTEO),ASL06138,Não,Não,Não,Desconhecido,À caminho,06/02/2025 21:57:03,Não
2025-37783637-0,(BM) 2025-005844588-001,06/02/2025 22:00:38,"RUA PORTO RICO, Nº 320 - TERESOPOLIS - JOAO MONLEVADE",-19.8434002,-43.1870292,V03019 - VITIMA DE QUEDA DE ALTURA (C) (Prioridade: 1 - Alta),11BBM/1CIA/6PEL/PA(JOAO MONLEVADE),UR02087,Não,Não,Não,Desconhecido,À caminho,06/02/2025 22:01:02,Não
2025-37783748-1,(BM) 2025-005845435-001,06/02/2025 22:06:59,"AVENIDA CORONEL OZORIO, Nº 665 - CENTRO - ITUETA",-19.3949948,-41.2250777,P01001 - VISTORIA DE FISCALIZACAO (C) (Prioridade: 2 - Média),6BBM/1CIA/6PEL(RESPLENDOR),ASL06088,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:07:25,Não
2025-37783926-8,(BM) 2025-005847146-001,06/02/2025 22:17:27,"AVENIDA CORONEL OZORIO, Nº 1425 - CENTRO - ITUETA",-19.3996815,-41.2301142,P04201 - VISTORIA DE FISCALIZACAO DE ATIVIDADES AUXILIARES (C) (Prioridade: 2 - Média),6BBM/1CIA/6PEL(RESPLENDOR),ASL06088,Não,Não,Não,Desconhecido,Terminada,06/02/2025 22:18:22,Não
2018-02895159-7,(BM) 2018-039863233-001,06/09/2018 12:14:04,"RODOVIA BR 381, Km 11, Nº S/N - BORGES - SABARA",0.0,0.0,O04011 - INCENDIO EM AREA URBANA NAO PROTEGIDA (C) (Prioridade: 1 - Alta),3BBM (BELO HORIZONTE),ABTS1419,Sim,Não,Não,BOLETIM DE OCORRENCIA,Classificada,06/09/2018 15:18:57,Não
2021-18948455-0,(BM) 2023-010543179-001,15/10/2021 17:03:06,"RUA DOUTOR JOSE AMERICO CANCADO BAHIA, Nº 1550 - CIDADE INDUSTRIAL - CONTAGEM",-19.9534999,-44.020971,V01023 - VITIMA DE SINCOPE (DESMAIO)/VERTIGEM (C) (Prioridade: 1 - Alta),2BBM (CONTAGEM),UR04354,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,05/03/2023 16:12:09,Não
2021-19795914-4,(BM) 2021-058811615-001,08/12/2021 06:10:15,"RODOVIA BR 381, Km 372 - SAO GONCALO DO RIO ABAIXO",-19.8504952,-43.2841272,V02403 - VITIMA DE COLISAO ENTRE AUTOMOVEIS (CARRO / CAMINHONETE) (C) (Prioridade: 1 - Alta),3BBM (BELO HORIZONTE),ABS8682,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,08/12/2021 12:36:01,Não
2022-20938288-7,(BM) 2022-008132474-001,21/02/2022 15:36:35,"RUA ERNESTO CARNEIRO SANTIAGO, Nº 10 - PADRE EUSTAQUIO - BELO HORIZONTE",-19.9200992,-43.9828077,S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média),3BBM (BELO HORIZONTE),ASL2237,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,21/02/2022 19:24:44,Não
2022-21639536-9,(BM) 2022-015195884-002,10/04/2022 12:42:16,"RODOVIA BR 381 - KM 404, Nº S/N - BOM JESUS DO AMPARO",-19.7343876,-43.5169385,Y40014 - SUPORTE AEREO AVANCADO DE VIDA (C) (Prioridade: 1 - Alta),BOA/1CIA OPERACOES AEREAS/COMANDANTE,ARC06 / ABS8682,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,10/04/2022 16:24:02,Não
2022-23600809-8,Desconhecido,18/08/2022 18:20:05,PRACA PRACA RIO BRANCO - LAGOINHA LEBLON - BELO HORIZONTE,0.0,0.0,V03003 - VITIMA DE AGRESSAO FISICA COM ARMA BRANCA (C) (Prioridade: 1 - Alta),1BBM/1CIA/1PEL,Desconhecido,Não,Não,Sim,OCORRÊNCIAS TÍPICAS DE BOMBEIROS ATENDIDA POR OUTROS ÓRGÃOS,Classificada,28/02/2023 17:00:21,Não
2022-23735040-5,(PM) 2022-037444211-008 / (BM) 2022-037444211-009,27/08/2022 13:35:02,"RUA JOSE DEMETRIO COELHO, Nº 2780 - CIDADE NOVA - CARMO DO CAJURU",-20.2009152,-44.7534393,S04007 - BUSCA E SALVAMENTO DE PESSOA PERDIDA / DESAPARECIDA (C) (Prioridade: 1 - Alta),10BBM/1CIA/4PEL,ACA00571 / ACA00571 / TAN / VSP10 / APP00979 / APP00979 / ACA00571 / TLP1040,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,31/08/2022 05:56:32,Não
2022-24618330-0,(BM) 2022-046725858-001,24/10/2022 12:06:35,"RUA LAGOA DA PRATA, Nº 262 - SALGADO FILHO - BELO HORIZONTE",-19.9371553,-43.9815912,S06002 - CAPTURA DE ANIMAL SILVESTRE PERIGOSO / AGRESSIVO (C) (Prioridade: 2 - Média),1BBM/1CIA/1PEL,ACA1422,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,24/10/2022 14:17:20,Não
2022-25574555-7,(PM) 2022-056758317-001 / (BM) 2022-056758317-008,28/12/2022 11:42:36,"POVOADO VIEIRA DE BAIXO, Nº S/N - MOEDA",-20.2940374,-43.967516,W98011 - SOLICITACAO DE APOIO (C) (Prioridade: 1 - Alta),2BBM (CONTAGEM),ASM00257 / BM1730050 / ACA2240 / TAN02232 / ASF2361 / ACA2238 / ASP376 / ASP1037 / ARC02,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,29/12/2022 23:54:59,Não
2023-26363267-4,(BM) 2023-007914658-001,17/02/2023 11:22:02,- AV. CONTORNO ESQUINA RUA PRATA - SAVASSI - BELO HORIZONTE,0.0,0.0,V02502 - VITIMA DE QUEDA (MOTOCICLISTA) (C) (Prioridade: 1 - Alta),1BBM/1CIA/1PEL,ACA4428 / UR4355,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,17/02/2023 14:01:56,Não
2023-27212784-0,Desconhecido,11/04/2023 08:34:50,"RUA PADRE PEDRO PINTO, Nº 1937 - CANDELARIA - BELO HORIZONTE",-19.8105548,-43.96598,V02412 - VITIMA DE COLISAO ENTRE CAMINHAO / CARRETA X MOTOCICLETA (C) (Prioridade: 1 - Alta),3BBM/1CIA/5PEL(VENDA NOVA),Desconhecido,Não,Não,Não,ATENDIDA PELO SAMU,Classificada,16/10/2024 12:45:55,Não
2023-28645110-9,Desconhecido,09/07/2023 14:02:15,"AVENIDA COUNTRY CLUB DE BELO HORIZONTE, Nº 197 - CONJUNTO TAQUARIL - BELO HORIZONTE",-19.9223789,-43.873011,O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média),1BBM/1CIA/6PEL(SAUDADE),Desconhecido,Não,Não,Não,DUPLICADA,Classificada,24/08/2023 13:47:33,Não
2023-29279366-2,(BM) 2023-038720052-001,18/08/2023 17:08:41,"CONDOMINIO ESTANCIA DO LAGO, Nº S/N - CARMO DO CAJURU",-20.252825,-44.730712,S02003 - AFOGAMENTO EM LAGO / LAGOA / REPRESA (C) (Prioridade: 1 - Alta),10BBM/1CIA/2PEL,REF11007,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,19/08/2023 07:40:30,OPERAÇÃO GUARDIÕES DO BIOMA
2023-29349678-3,(PM) 2023-039436473-003 / (BM) 2023-039436473-001,23/08/2023 06:06:27,"AVENIDA GOVERNADOR MAGALHAES PINTO, Nº S/N - ESTÂNCIA GAFANHOTO - DIVINOPOLIS",-20.1066707,-44.8436536,S02006 - BUSCA E RECUPERACAO DE CADAVER SUBMERSO (EXCETO AFOGAMENTO) (C) (Prioridade: 2 - Média),10BBM/1CIA/2PEL,ACA00571 / ASL00814 / UR00560,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,23/08/2023 14:52:51,Não
2023-29753799-0,(BM) 2023-043685580-001,17/09/2023 19:06:09,"RODOVIA BR 354, Km 410 - BAMBUI",-19.9620899,-45.9592783,S02006 - BUSCA E RECUPERACAO DE CADAVER SUBMERSO (EXCETO AFOGAMENTO) (C) (Prioridade: 2 - Média),10BBM/4CIA/1PEL/PA BM(ARCOS),ASL02409,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,18/09/2023 08:51:47,Não
2024-31629004-2,(BM) 2024-002188159-003,15/01/2024 09:08:03,"RODOVIA BR 494, Km 59 - DISTRITO DE MARILANDIA - ITAPECERICA",-20.3679172,-44.9348107,"S05303 - COLISAO ENTRE AUTOMOVEIS (CARRO, CAMIONETA, CAMINHONETE) (C) (Prioridade: 1 - Alta)",10BBM/1CIA/4PEL,UR00561 / ABTS10497 / ACA00571,Sim,Não,Não,BOLETIM DE OCORRENCIA,Classificada,15/01/2024 18:00:23,Não
2024-32459002-0,(PM) 2024-010689488-002 / (BM) 2024-010689488-001,08/03/2024 07:01:05,RUA FRANCISCO CARVALHO / RUA MERCURIO - SAO JOAO DE DEUS - DIVINOPOLIS,-20.1457925,-44.8773494,S02006 - BUSCA E RECUPERACAO DE CADAVER SUBMERSO (EXCETO AFOGAMENTO) (C) (Prioridade: 2 - Média),10BBM/1CIA/4PEL,ASL00814,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,10/03/2024 22:37:33,Não
2024-32578906-6,(BM) 2024-011909409-003,15/03/2024 13:48:00,"RODOVIA MG 050, Km 169 - PEDRA DO INDAIA",-20.3073086,-45.2144212,S05309 - COLISAO ENTRE AUTOMOVEL X CAMINHAO / CARRETA (C) (Prioridade: 1 - Alta),10BBM/4CIA/1PEL(FORMIGA),ABTS10494 / UR10564 / ASL01260,Sim,Não,Não,BOLETIM DE OCORRENCIA,Classificada,16/03/2024 22:47:21,Não
2024-32724652-0,(PM) 2024-013379219-001 / (BM) 2024-013379219-003,24/03/2024 01:17:13,"RUA DINAMARCA, Nº 60 - JUSA FONSECA - DIVINOPOLIS",-20.1727138,-44.8708806,O02001 - INCENDIO EM RESIDENCIA/HABITACAO UNIFAMILIAR (CASA) (C) (Prioridade: 1 - Alta),10BBM/1CIA/4PEL,ABTS10497 / ACA00571,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,24/03/2024 10:17:27,Não
2024-32783907-2,(BM) 2024-013996073-001,28/03/2024 09:03:44,"CONDOMINIO RETIRO DO LAGO, Nº S/N - SANTO ANTONIO DO MONTE",-19.96975,-45.295972,S02003 - AFOGAMENTO EM LAGO / LAGOA / REPRESA (C) (Prioridade: 1 - Alta),10BBM/1CIA/1PEL,ASM05501,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,28/03/2024 17:47:38,Não
2024-33362096-2,Desconhecido,01/05/2024 12:20:31,"RUA REGINALDO DE SOUZA LIMA, Nº 414 - CENTRO - CONTAGEM",-19.9234159,-44.0788226,O04012 - INCENDIO EM LOTE VAGO (AREA URBANA) (C) (Prioridade: 2 - Média),2BBM/1CIA/1PEL,Desconhecido,Não,Não,Não,NÃO ATENDIDA: FALTA DE VIATURA,Classificada,25/09/2024 13:28:28,Não
2024-33444027-5,(BM) 2024-020706078-001,06/05/2024 14:01:11,"RODOVIA MG 050, Km 107 - CARMO DO CAJURU",-20.0800481,-44.7514461,S02006 - BUSCA E RECUPERACAO DE CADAVER SUBMERSO (EXCETO AFOGAMENTO) (C) (Prioridade: 2 - Média),10BBM/1CIA/4PEL,ACA00571,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,06/05/2024 21:23:21,Não
2024-33837019-6,(BM) 2024-024743965-001,31/05/2024 08:40:20,"RUA LIDER, Nº 84 - AEROPORTO - BELO HORIZONTE",-19.852311,-43.952828,Y40015 - TRANSPORTE AEREO INTER-HOSPITALAR (C) (Prioridade: 1 - Alta),BOA/2CIA ESP OPE AEREAS/SEC OPERACIONAL,BM1429430,Não,Não,Não,Desconhecido,Terminada,31/05/2024 17:11:50,Não
2024-33874170-7,(BM) 2024-025021011-001,02/06/2024 21:46:28,"RUA GONCALVES DIAS, Nº 1162 - PORTO VELHO - DIVINOPOLIS",-20.1440533,-44.8795116,V03004 - VITIMA DE AGRESSAO FISICA COM ARMA DE FOGO (C) (Prioridade: 1 - Alta),10BBM/1CIA/3PEL,UR05522,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,02/06/2024 23:09:27,Não
2024-34043032-9,(PM) 2024-026798158-002 / (BM) 2024-026798158-001,13/06/2024 22:24:22,"RUA FORTALEZA, Nº 250 - BOM PASTOR - DIVINOPOLIS",-20.1259698,-44.8881873,S04013 - BUSCA E RECUPERACAO DE CADAVER EM TERRA/EDIFICACOES (C) (Prioridade: 2 - Média),10BBM/1CIA/2PEL,ASM05501,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,14/06/2024 22:34:44,Não
2024-34172660-2,(BM) 2024-028126354-001,22/06/2024 11:09:56,"LUGAREJO COMUNIDADE DE SERRA NEGRA, Nº S/N - SAO SEBASTIAO DO OESTE",-20.1826454,-45.0458479,A03000 - AUTO EXTERMINIO (SUICIDIO) (C) (Prioridade: 1 - Alta),10BBM/1CIA/3PEL,UR05522,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,23/06/2024 06:31:34,Não
2024-34209598-1,(PM) 2024-028461900-004 / (BM) 2024-028461900-005,24/06/2024 17:26:56,"RUA JOAO DE BARRO, Nº 400 - NOVA FORTALEZA - DIVINOPOLIS",-20.1090668,-44.9026139,O02001 - INCENDIO EM RESIDENCIA/HABITACAO UNIFAMILIAR (CASA) (C) (Prioridade: 1 - Alta),10BBM/1CIA/1PEL,ABTS10493 / UR05522 / ACA10572,Não,Não,Não,BOLETIM DE OCORRENCIA,Classificada,24/06/2024 23:32:00,Não
2024-34535942-4,(BM) 2024-031780775-001,15/07/2024 17:15:22,"RODOVIA MG 424, Km 25, Nº S/N - CACHOEIRA - SAO JOSE DA LAPA",0.0,0.0,Y40014 - SUPORTE AEREO AVANCADO DE VIDA (C) (Prioridade: 1 - Alta),BOA/2CIA ESP OPE AEREAS/SEC OPERACIONAL,BM1429430,Não,Não,Não,Desconhecido,Terminada,15/07/2024 17:59:13,Não
2024-34537574-3,(BM) 2024-031796583-002,15/07/2024 18:57:22,"POVOADO BOM JESUS DE ANGICOS, Nº S/N - CARMO DO CAJURU",-20.1458475,-44.6914384,O02001 - INCENDIO EM RESIDENCIA/HABITACAO UNIFAMILIAR (CASA) (C) (Prioridade: 1 - Alta),10BBM/1CIA/2PEL,ABTS10497 / ACA10572,Sim,Sim,Não,BOLETIM DE OCORRENCIA,Classificada,16/07/2024 08:15:34,Não
2024-34570459-2,(PM) 2024-032159556-002 / (BM) 2024-032159556-001,17/07/2024 22:46:36,"RUA CONCEICAO M NOGUEIRA, Nº 167 - GARCIAS - ITAUNA",-20.0927835,-44.606103,O02001 - INCENDIO EM RESIDENCIA/HABITACAO UNIFAMILIAR (CASA) (C) (Prioridade: 1 - Alta),10BBM/2CIA/2PEL(ITAUNA),ABTS10496,Sim,Sim,Não,BOLETIM DE OCORRENCIA,Classificada,18/07/2024 07:10:04,Não
